formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"The Block Arcade 7-8, 282 Collins St, Melbourne VIC 3000, Australia",Haigh's Chocolates Block Arcade,4.6,-37.8156391,144.9644855,-37.81445867010729,144.9659108798927,-37.81715832989273,144.9632112201073,True,haigh s chocolates,-1,-1,-1,58
"38-42 Oxford St, Darlinghurst NSW 2010, Australia",Ofload,4.6,-33.8778457,151.2139323,-33.87650452010728,151.2151157798927,-33.87920417989272,151.2124161201072,,ofload,-1,-1,-1,40
"1120, Building 1120/346 Leeds Parade, Orange NSW 2800, Australia",Loam Bio Pty Ltd,0.0,-33.2442924,149.1207308,-33.24300722010727,149.1221103798927,-33.24570687989271,149.1194107201073,True,orange nsw loam bio,-1,-1,-1,55
"1690 W Broadway, Vancouver, BC V6J 1X6, Canada",Simply Computing - Apple Specialist,4.2,49.2634956,-123.1432012,49.26493342989272,-123.1417790201073,49.26223377010727,-123.1444786798927,True,strong compute,-1,-1,-1,-1
"430 Kirkland Way, Kirkland, WA 98033, United States",PCC Community Markets - Kirkland,4.5,47.6756675,-122.199937,47.67698212989272,-122.1985852201073,47.67428247010728,-122.2012848798927,True,eucalyptus,-1,-1,-1,-1
"level 8/11 York St, Sydney NSW 2000, Australia",upcover,4.9,-33.865294,151.2055313,-33.86411192010728,151.2069350798927,-33.86681157989273,151.2042354201073,,upcover,-1,-1,-1,37
"Fremantle WA 6160, Australia",Fremantle,,-32.0517901,115.755096,-32.0411841,115.7797248,-32.0639422,115.732195,,fremantle,-1,-1,-1,19
"1191 Plenty Rd, Bundoora VIC 3083, Australia",Spendable,0.0,-37.7033209,145.0558866,-37.70192317010728,145.0572619298927,-37.70462282989272,145.0545622701073,,spendable,-1,-1,-1,35
"80 Wentworth Ave, Surry Hills NSW 2010, Australia",Driva,4.8,-33.8796387,151.2097661,-33.87818352010728,151.2110028298927,-33.88088317989272,151.2083031701073,True,driva,-1,-1,-1,40
"39 Laverick Ave, Tomago NSW 2322, Australia",MGA Thermal,0.0,-32.8291098,151.706125,-32.82747407010727,151.7072831798928,-32.83017372989272,151.7045835201073,True,mga thermal,-1,-1,-1,34
"4640 Hygiene Rd, Longmont, CO 80503, United States",Metacarbon Farm,4.9,40.187211,-105.246678,40.18860587989273,-105.2453253701073,40.18590622010728,-105.2480250298927,False,betacarbon,-1,-1,-1,-1
"Sydney NSW 2052, Australia",UNSW Sydney,4.3,-33.917347,151.2312675,-33.9127803,151.2411959,-33.92234029999999,151.2211839,,the university of nsw s x accelerator program,-1,-1,-1,17
"UNSW Business School (E12), Cnr Union Rd & College Rd, UNSW Sydney, Kensington NSW 2052, Australia",UNSW Business School (E12),4.5,-33.9168185,151.2296112,-33.91533772010728,151.2311130798927,-33.91803737989272,151.2284134201072,True,the university of nsw s x accelerator program,-1,-1,-1,89
"Reddings, Welwyn Garden City AL10 9AX, United Kingdom",We Money Ltd,5.0,51.8063467,-0.2150379,51.80770702989273,-0.2135589701072778,51.80500737010728,-0.2162586298927222,False,wemoney,-1,-1,-1,-1
"Suite 1102, Level 1/18 Banfield St, Chermside QLD 4032, Australia",UpFlow Pty Ltd,5.0,-27.3815446,153.0312013,-27.38036657010728,153.0324913298927,-27.38306622989272,153.0297916701073,True,upflowy,-1,-1,-1,56
"5 Rue Feydeau, 75002 Paris, France",Upflow,4.4,48.8700595,2.3419387,48.87143942989272,2.343280779892722,48.86873977010728,2.340581120107278,False,upflowy,-1,-1,-1,-1
"904 Auburn Way N, Auburn, WA 98002, United States",TTT Environmental Instr & Supplies,4.8,47.3159905,-122.2225734,47.31739407989271,-122.2213793701072,47.31469442010727,-122.2240790298927,True,ttt,-1,-1,-1,-1
"4070 Bowness Rd NW, Calgary, AB T3B 3R7, Canada",Chief Medical Examiner's Office,4.5,51.0638559,-114.1474644,51.06517532989272,-114.1461464201073,51.06247567010728,-114.1488460798927,False,the coroner s inquiry,-1,-1,-1,-1
"148 Foggo Rd, McLaren Vale SA 5171, Australia",Love + Glory | Low Sugar Sparkling Wine,5.0,-35.2000651,138.5678446,-35.19871307010728,138.5692348798927,-35.20141272989272,138.5665352201073,True,love glory,-1,-1,27,36
"105 Harvard Ave E #106, Seattle, WA 98102, United States","LD Engineering, LLC",0.0,47.6189421,-122.3223549,47.62028962989272,-122.3209450701073,47.61758997010728,-122.3236447298927,,project procurement engineering solutions,-1,-1,-1,-1
