tech,link,title,date_,publisher_,source_type_,business_index_term
satellite technology,https://www.proquest.com/anznews/docview/2379654279/6F564745A9754A21PQ/44?accountid=14649,SOUTH AUSTRALIA LIFTS OFF,"Mar 22, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2299436770/6F564745A9754A21PQ/45?accountid=14649,Space hub coup for uni,"Oct 1, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2299483483/6F564745A9754A21PQ/46?accountid=14649,Space hub coup for uni,"Oct 1, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2230852419/6F564745A9754A21PQ/47?accountid=14649,Reinvention of defence science,"May 29, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2408329173/6F564745A9754A21PQ/48?accountid=14649,Satellite tech has space to grow,"Jun 2, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2345514415/6F564745A9754A21PQ/49?accountid=14649,Satellites will put us on front foot fighting fires,"Jan 28, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2345517293/6F564745A9754A21PQ/51?accountid=14649,Technology set to help fight fires from orbit,"Jan 28, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2268181858/6F564745A9754A21PQ/52?accountid=14649,Climate’s right for farming revolution,"Aug 4, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2268081118/6F564745A9754A21PQ/53?accountid=14649,Climate’s right for farming revolution,"Aug 4, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2344932866/6F564745A9754A21PQ/54?accountid=14649,New tech to join in fire fight,"Jan 27, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2210555020/6F564745A9754A21PQ/55?accountid=14649,Net gains from orbiting ‘toasters’,"Apr 18, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2284205789/6F564745A9754A21PQ/56?accountid=14649,"Water watchdog racks up convictions, inspections in first year","Sep 5, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2273984465/6F564745A9754A21PQ/57?accountid=14649,State-uni partnership drives dryland ag research forward,"Aug 17, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2343007382/6F564745A9754A21PQ/58?accountid=14649,Telcos move to raise network fire defences: Disaster Resilience,"Jan 23, 2020",Fairfax Digital,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2364268241/6F564745A9754A21PQ/59?accountid=14649,Help of the highest Calibre,"Feb 27, 2020",Fairfax Media Publications Pty Limited,Newspaper,
