formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"1520 4th Ave #600, Seattle, WA 98101, United States",hydrogen advertising,47.611023,-122.336754,47.61226767989272,-122.3356591701073,47.60956802010728,-122.3383588298927,5.0,True,-1,-1,-1,-1,impressive advertising
"Power Station, 136/144 Cherry Ln, Laverton North VIC 3026, Australia",snowy hydro laverton power station,-37.8411354,144.7876094,-37.83981437010728,144.7889809298927,-37.84251402989272,144.7862812701073,3.7,True,-1,-1,59,-1,hydrogen power sa
"Parking lot, 2559 152nd Ave NE, Redmond, WA 98052, United States",synergy building services,47.6338276,-122.1382264,47.63517622989271,-122.1367574701072,47.63247657010727,-122.1394571298927,0.0,,-1,-1,-1,-1,emergency services
"Oude Waalsdorperweg 10, 2597 AK Den Haag, Netherlands",international criminal court,52.1054876,4.3178539,52.10667567989272,4.319586279892722,52.10397602010728,4.316886620107278,3.6,False,-1,-1,-1,-1,the international criminal court icc
"Whyalla SA 5600, Australia",south middleback ranges mine (simec),-33.2809791,137.1095581,-33.27971982010727,137.1105918798927,-33.28241947989272,137.1078922201073,4.0,True,-1,-1,17,8,the black dog institute
"105 W Lakes Blvd, West Lakes SA 5021, Australia",adelaide football club,-34.8803093,138.4967307,-34.87878767010727,138.4982090298927,-34.88148732989272,138.4955093701072,4.0,True,-1,-1,38,29,fremantle football club
"UC Innovation Centre (Bldg 22), University Drive South, Canberra ACT 2617, Australia",australian water partnership,-35.24042,149.08803,-35.23903287010728,149.0893786798927,-35.24173252989272,149.0866790201073,0.0,True,-1,-1,75,-1,the australian water partnership
"Level 1/1 Smail St, Ultimo NSW 2007, Australia",wwf-australia,-33.8830611,151.1955843,-33.88159422010727,151.1969177298928,-33.88429387989272,151.1942180701073,3.9,True,-1,-1,37,-1,australia
"15535 Main St NE, Duvall, WA 98019, United States",duvall planning department,47.740726,-121.9865999,47.74206597989272,-121.9852048701073,47.73936632010728,-121.9879045298927,5.0,,-1,-1,-1,-1,the planning department
"24 Jetty Rd, Brighton SA 5048, Australia",city of holdfast bay - brighton civic centre,-35.0166982,138.519617,-35.01553402010728,138.5210807798927,-35.01823367989272,138.5183811201073,2.5,True,-1,-1,31,22,the holdfast bay council
"94 Mallett St, Camperdown NSW 2050, Australia",australian sports brain bank,-33.8884708,151.1775087,-33.88722482010727,151.1787501798927,-33.88992447989271,151.1760505201073,0.0,,-1,-1,36,-1,the australian brain bank
26PG+R42 - Dubai Sports City - Dubai - United Arab Emirates,international cricket council,25.0369632,55.225283,25.03828022989272,55.22665517989272,25.03558057010728,55.22395552010727,4.4,False,-1,-1,-1,-1,the international cricket council
"5515 Phinney Ave N, Seattle, WA 98103, United States",earth ministry,47.6690055,-122.3548613,47.67022817989272,-122.3534173201073,47.66752852010728,-122.3561169798927,5.0,,-1,-1,-1,-1,arts ministry
"1119 8th Ave, Seattle, WA 98101, United States",town hall seattle,47.6090139,-122.3300639,47.61044112989273,-122.3285849201072,47.60774147010728,-122.3312845798927,4.7,True,-1,-1,-1,-1,boeing s seattle
"13730 Lake City Way NE Apt.210, Seattle, WA 98125, United States",the advocate news seattle,47.7295391,-122.2918838,47.73092792989272,-122.2907560201073,47.72822827010727,-122.2934556798927,5.0,True,-1,-1,-1,-1,the climate institute
"800 E Roy St, Seattle, WA 98102, United States",dar rainier chapter house,47.6252471,-122.3220311,47.62655802989272,-122.3206813201073,47.62385837010728,-122.3233809798927,4.4,,-1,-1,-1,-1,parliament house
"374 Huangpi Rd (S), Huangpu, Shanghai, China, 200002",site of the first national congress of the chinese communist party,31.220219,121.475489,31.22157092989273,121.4768505798927,31.21887127010728,121.4741509201073,3.7,False,-1,-1,-1,-1,the chinese communist party
"152 W Cedar St, Sequim, WA 98382, United States",sequim planning department,48.0807999,-123.1037855,48.08204042989272,-123.1024346701073,48.07934077010728,-123.1051343298927,0.0,False,-1,-1,-1,-1,the planning department
"10441 Bayview Edison Rd, Mount Vernon, WA 98273, United States",northwest straits commission,48.494288,-122.4808799,48.49583517989272,-122.4796190701073,48.49313552010728,-122.4823187298927,0.0,True,-1,-1,-1,-1,south australia tourism commission
"901 5th Ave Suite 2300, Seattle, WA 98164, United States","brown & riding insurance services, inc.",47.605816,-122.3319745,47.60729257989272,-122.3303171201073,47.60459292010727,-122.3330167798928,5.0,,-1,-1,-1,-1,aboriginal health services
"POONAM CHAMBERS, 401-E, 4th Floor, A wing, AB Nair Rd, Worli, Mumbai, Maharashtra 400018, India",big bash sports league,18.9911358,72.81340329999999,18.99246097989272,72.81502162989271,18.98976132010728,72.81232197010728,5.0,False,-1,-1,-1,-1,the big bash league
"33 Argyle St, Parramatta NSW 2150, Australia",new south wales aboriginal land council,-33.816592,151.000275,-33.81509867010727,151.0016667298927,-33.81779832989271,150.9989670701073,3.4,,-1,-1,35,-1,the nsw aboriginal land council
