tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2693163128/38C549A391024716PQ/35?accountid=14649,"Learning is more than AI, Google","Jul 24, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701303547/38C549A391024716PQ/36?accountid=14649,CREATE MINDS THINK ALIKE,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,"['Artificial intelligence;', 'Startups;', 'Employees;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2669736936/38C549A391024716PQ/37?accountid=14649,TECH FIRM SOARS BEFORE $1.2BN BID PULLED,"May 27, 2022",Nationwide News Pty Ltd,Newspaper,['Securities trading']
artificial intelligence,https://www.proquest.com/anznews/docview/2671082989/38C549A391024716PQ/38?accountid=14649,AI great way to protect our reef,"May 30, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2720607131/38C549A391024716PQ/39?accountid=14649,Emerging technologies to close strength gap,"Oct 4, 2022",Nationwide News Pty Ltd,Newspaper,"['Automation;', 'Artificial intelligence;', 'Logistics']"
artificial intelligence,https://www.proquest.com/anznews/docview/2698398573/38C549A391024716PQ/40?accountid=14649,Could 'virtual nurses' be the answer to aged care staffing woes? Dream on,"Aug 5, 2022",Athena Information Solutions Pvt. Ltd.,Newspaper,"['Workforce planning;', 'Artificial intelligence;', 'Working conditions;', 'Workforce']"
artificial intelligence,https://www.proquest.com/anznews/docview/2706710680/38C549A391024716PQ/41?accountid=14649,Shaping the Future,"Aug 27, 2022",Fairfax Digital,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2701967890/38C549A391024716PQ/42?accountid=14649,"ON YOUR MARK, GET SET – GROW","Aug 14, 2022",Nationwide News Pty Ltd,Newspaper,"['Digital currencies;', 'Artificial intelligence;', 'Startups;', 'Employees;', 'Supermarkets;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2701648947/38C549A391024716PQ/43?accountid=14649,"ON YOUR MARK, GET SET, GROW","Aug 14, 2022",Nationwide News Pty Ltd,Newspaper,"['Digital currencies;', 'Artificial intelligence;', 'Startups;', 'Employees;', 'Supermarkets;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2701972005/38C549A391024716PQ/44?accountid=14649,"ON YOUR MARK, GET SET, GROW","Aug 14, 2022",Nationwide News Pty Ltd,Newspaper,"['Digital currencies;', 'Blockchain;', 'Artificial intelligence;', 'Startups;', 'Supermarkets;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2721779431/38C549A391024716PQ/45?accountid=14649,'Astonishing': global demand for exotic pets is driving a massive trade in unprotected wildlife,"Oct 7, 2022",Athena Information Solutions Pvt. Ltd.,Newspaper,"['Exports;', 'Social networks;', 'International trade']"
artificial intelligence,https://www.proquest.com/anznews/docview/2670342171/38C549A391024716PQ/46?accountid=14649,Unis lead $250m R&D program push,"May 28, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2721746941/38C549A391024716PQ/47?accountid=14649,'Astonishing': unprotected wildlife is imported into the US at a rate 11 times greater than protected animals,"Oct 7, 2022",Athena Information Solutions Pvt. Ltd.,Newspaper,"['Exports;', 'Social networks;', 'International trade']"
artificial intelligence,https://www.proquest.com/anznews/docview/2703402871/38C549A391024716PQ/48?accountid=14649,Goodes' artistic statement with Swans data,"Aug 19, 2022",Fairfax Digital,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2703402814/38C549A391024716PQ/49?accountid=14649,Goodes' footy data becomes an intimate work of art: Exclusive,"Aug 19, 2022",Fairfax Digital,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2672457306/38C549A391024716PQ/51?accountid=14649,Adam’s FAMILY TREE,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,['Careers']
artificial intelligence,https://www.proquest.com/anznews/docview/2685795404/38C549A391024716PQ/52?accountid=14649,LIGHTING UP YOUR LIFE,"Jul 9, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2713836429/38C549A391024716PQ/53?accountid=14649,$450m Trinity towers,"Sep 14, 2022",Nationwide News Pty Ltd,Newspaper,['Product development']
artificial intelligence,https://www.proquest.com/anznews/docview/2714778129/38C549A391024716PQ/54?accountid=14649,SA’S 22 START-UPS TO WATCH,"Sep 17, 2022",Nationwide News Pty Ltd,Newspaper,"['Machine learning;', 'Startups;', 'Employees;', 'Biotechnology industry']"
artificial intelligence,https://www.proquest.com/anznews/docview/2487238221/38C549A391024716PQ/55?accountid=14649,Tech giant Amazon establishes office at Adelaide’s Lot Fourteen,"Feb 8, 2021",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2658850135/38C549A391024716PQ/56?accountid=14649,Help for scholar,"May 4, 2022",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2680905552/38C549A391024716PQ/57?accountid=14649,CBD’s ring of de-light,"Jun 27, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2693162771/38C549A391024716PQ/58?accountid=14649,City of lights,"Jul 24, 2022",Nationwide News Pty Ltd,Newspaper,
