LGA_Name,Beach_FID,Beach_Name,Width_B,Length_B,Patrolled_B,Width_S,Length_S,Patrolled_S,Close_S
Coffs Harbour,136,Charlesworth Bay,40,500,No,40,500,No,No
Coffs Harbour,137,Diggers North,90,300,No,90,300,No,No
Coffs Harbour,138,Diggers South / Little Diggesr,100,825,Yes,100,825,Yes,No
Coffs Harbour,139,Macauleys Headland,30,50,No,30,50,No,No
Coffs Harbour,140,Park  North,60,1500,Yes,60,1500,Yes,No
Coffs Harbour,141,Park  South / North Wall,120,600,No,120,600,No,No
Coffs Harbour,142,Jetty ,100,1400,No,100,1400,No,No
Coffs Harbour,143,Gallows,20,150,No,20,150,No,No
Coffs Harbour,144,Boambee,140,5700,No,140,5700,No,No
Coffs Harbour,145,Murrays/Sawtell,140,2080,Yes,140,2080,Yes,No
Coffs Harbour,146,Bonville / Bongil / Bundagen,140,6800,No,140,6800,No,No
Bellingen,147,North,90,8750,Yes,90,8750,Yes,No
Bellingen,148,Hungry Head North,100,2500,No,100,2500,No,No
Bellingen,149,Hungry Head,90,2000,Yes,90,2000,Yes,No
Bellingen,150,Schnapper,80,1000,No,80,1000,No,No
Bellingen,151,Wenonah Head / Valla,80,5200,No,80,5200,No,No
Nambucca Valley,152,Valla Head / Walla ,40,425,Yes,40,425,Yes,No
Nambucca Valley,153,South Valla,150,650,No,150,650,No,No
Nambucca Valley,154,Hyland,80,3000,No,80,3000,No,No
Nambucca Valley,155,Nambucca North,90,800,No,90,800,No,No
Nambucca Valley,156,Nambucca Main,60,600,Yes,60,600,Yes,No
Nambucca Valley,157,Beilbys,70,300,No,70,300,No,No
Nambucca Valley,158,Shelly,50,535,No,50,535,No,No
Nambucca Valley,159,V Wall,20,20,No,20,20,No,No
Nambucca Valley,160,Entrance / Wellington,100,200,No,100,200,No,No
Nambucca Valley,161,Forster - Scotts Head,150,11250,Yes,150,11250,Yes,No
Nambucca Valley,162,Little,100,150,No,100,150,No,No
Nambucca Valley,163,Scotts Head  / Wakki,30,150,Yes,30,150,Yes,No
Kempsey,164,Middle Head ,70,2200,No,70,2200,No,No
Kempsey,165,Grassy Head ,90,1975,Yes,90,1975,Yes,No
Kempsey,166,Stuarts Point ,90,9000,No,90,9000,No,No
Kempsey,167,Back ,70,1625,No,70,1625,No,No
Kempsey,168,Trial Bay Goal,20,1850,No,20,1850,No,No
Kempsey,169,Horseshoe Bay,50,150,Yes,50,150,Yes,No
Kempsey,170,Front  (South West Rocks),120,1850,Yes,120,1850,Yes,No
Kempsey,171,Little Bay,60,200,No,60,200,No,No
Kempsey,172,Gap ,140,900,No,140,900,No,No
Kempsey,173,Cobble ,50,40,No,50,40,No,No
Kempsey,174,North Smoky 1,50,100,No,50,100,No,No
Kempsey,175,North Smoky 2,100,150,No,100,150,No,No
Kempsey,176,North Smoky 3,100,350,No,100,350,No,No
Kempsey,177,South Smoky 1,200,2500,No,200,2500,No,No
Kempsey,178,South Smoky 2,200,10,No,200,10,No,No
Kempsey,179,Hat Head,90,2000,Yes,90,2000,Yes,No
Kempsey,180,Gap ,40,200,No,40,200,No,No
Kempsey,181,Connors ,60,350,No,60,350,No,No
Kempsey,182,Third ,50,200,No,50,200,No,No
Kempsey,183,Killick / Crescent Head / Front ,40,15200,No,40,15200,No,No
Kempsey,184,Killick  North,150,8000,No,150,8000,No,No
Kempsey,185,Killick  South,100,7,Yes,100,7,Yes,No
Kempsey,186,Pebbly  / Shelly ,30,375,No,30,375,No,No
Kempsey,187,Goolawah  / Back ,100,6600,No,100,6600,No,No
Kempsey,188,Racecourse / Sunset ,100,1075,No,100,1075,No,No
Kempsey,189,Delicate Nobby,120,2000,No,120,2000,No,No
Kempsey,190,Big Hill (2)   (The Rock),80,50,No,80,50,No,No
Kempsey,191,Barries,80,3000,No,80,3000,No,No
Port Macquarie-Hastings,192,Point Plomer  (Fingers),100,300,No,100,300,No,No
Port Macquarie-Hastings,193,Queens Head,70,200,No,70,200,No,No
Port Macquarie-Hastings,194,North Shore ,100,13050,No,100,13050,No,No
Port Macquarie-Hastings,195,Pelican Point / North Breakwall  / Pilot ,50,100,No,50,100,No,No
Port Macquarie-Hastings,196,Town,50,625,Yes,50,625,Yes,No
Port Macquarie-Hastings,197,Oxley ,60,250,No,60,250,No,No
Port Macquarie-Hastings,198,Rocky ,40,425,No,40,425,No,No
Port Macquarie-Hastings,199,Flynns ,60,500,Yes,60,500,Yes,No
Port Macquarie-Hastings,200,Nobbys / The Dog ,50,400,No,50,400,No,No
Port Macquarie-Hastings,201,Shelly,90,750,No,90,750,No,No
Port Macquarie-Hastings,202,Pandanus Cove,20,50,No,20,50,No,No
Port Macquarie-Hastings,203,Miners North,40,350,No,40,350,No,No
